tone_group,stem,n,tf,idf,tf_idf,example_word,example_word_freq,doc_freq
hawkish,louvr,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,louvre,16,14
hawkish,mast,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,mast,21,19
hawkish,mcdonald,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,mcdonald,11,11
hawkish,mie,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,mie,12,12
hawkish,mingl,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,mingled,8,15
hawkish,misdemeanour,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,misdemeanour,5,10
hawkish,monik,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,moniker,10,10
hawkish,morley,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,morley,12,11
hawkish,muellbauer,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,muellbauer,32,17
hawkish,multicountri,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,multicountry,11,11
hawkish,natali,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,natalie,14,14
hawkish,nearshor,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,nearshoring,17,10
hawkish,neglinnaya,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,neglinnaya,32,32
hawkish,nfc,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,nfc,52,34
hawkish,nicolo,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,nicolo,32,13
hawkish,nonexecut,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,nonexecutive,15,13
hawkish,overborrow,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,overborrowing,21,27
hawkish,overbuild,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,overbuilding,24,22
hawkish,pessoa,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,pessoa,18,10
hawkish,physicist,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,physicists,21,30
hawkish,playbook,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,playbook,25,25
hawkish,plow,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,plow,8,10
hawkish,poccmm,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,poccmm,31,31
hawkish,poignant,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,poignant,17,16
hawkish,posteriori,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,posteriori,11,11
hawkish,preliminarili,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,preliminarily,20,16
hawkish,proinflationari,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,proinflationary,203,58
hawkish,quiro,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,quiros,32,21
hawkish,ram,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,ram,22,23
hawkish,renunci,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,renunciation,19,16
hawkish,restoy,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,restoy,12,11
hawkish,rev,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,rev,22,14
hawkish,revu,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,revue,10,10
hawkish,robbin,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,robbins,27,17
hawkish,roffia,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,roffia,15,12
hawkish,rosstat,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,rosstat,25,11
